"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06F3/04","Hand rubbers, e.g. gloves with corrugated surfaces","","","","","","","This place covers: Rubbing devices which are supposed to be used directly by hand. Illustrative example of subject matter classified in this group."
"D06F5/00","Hand implements for washing purposes, e.g. sticks   (hand rubbing appliances D06F3/00)","D06F3/00","Brushes ","A46B","","","","This place covers: Hand implements which are specifically designed for uniformly distributing/stirring the washing agent and/or the laundry in the washing tub. Illustrative example of subject matter classified in this group."
"D06F5/005","{Receptacles for washing articles, e.g. hosiery, by shaking or squeezing}","","","","","","","This place covers: Washing receptacles, wherein the washing action is obtained by shaking or squeezing the receptacle itself. Illustrative example of subject matter classified in this group."
"D06F5/02","Plungers, dollies, pounders, squeezers, or the like","","","","","","","This place covers: Washing devices which, during the washing action, are repeatedly pressed against the laundry/removed from the laundry along a generally vertical direction. Illustrative example of subject matter classified in this group."
"D06F5/04","adapted for removable mounting on receptacles such as wash-tubs","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F5/06","Grippers","","","","","","","This place covers: Laundry grippers specially designed for washing purposes. Illustrative example of subject matter classified in this group."
"D06F7/00","Washing devices adapted to be used independently of any particular receptacle, e.g. for removable mounting on wash-tubs, bath-tubs, or the like","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F7/02","of the rotary-impeller type","","","","","","","This place covers: Impellers or similar rotating bodies suitable for agitating the washing liquid. Illustrative example of subject matter classified in this group."
"D06F7/04","of the vibrator type","","","","","","","This place covers: Washing devices, wherein the agitation of the washing fluid is generally obtained by oscillating e.g. a solid flat surface with a steady uninterrupted rhythm. Illustrative example of subject matter classified in this group."
"D06F7/06","agitating the washing liquid by air","","","","","","","This place covers: Washing devices, wherein the washing action is obtained by agitating the washing liquid using e.g. air jets. Illustrative example of subject matter classified in this group."
"D06F9/00","Brushing-type washing machines","","","","","","","This place covers: Devices for washing home textiles comprising one or more brushing elements, wherein said brushing element comprises bristles hard enough to remove dirt but not so hard that they cause damage to the laundry. Illustrative examples of subject matter classified in this group."
"D06F11/00","Washing machines using rollers, e.g. of the mangle type","","Wringing machinges with two or more cooperating rollers.","D06F45/00","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F13/00","Washing machines having receptacles, stationary for washing purposes, with agitators therein contacting the articles being washed   (plungers or the like adapted for removable mounting on receptacles D06F5/04)","D06F5/04","Washing devices adapted to be used independently of any particular receptacle","D06F7/00","","","","This place covers: Vertical axis washing machines provided with laundry agitators. Illustrative example of subject matter classified in this group."
"D06F13/02","wherein the agitator has an oscillatory rotary motion only","","","","","","AgitatorRotary and/or oscillating device mounted inside a stationary washing drum and acting mainly on the clothes","This place covers: Illustrative example of subject matter classified in this group."
"D06F13/04","wherein the agitator has an axial motion only","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F13/06","wherein the agitator has both rotary, e.g. oscillating rotary, motion and axial motion","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F13/08","wherein the agitator has a gyratory or orbital motion","","","","","","","This place covers: Vertical axis washing machines, wherein the agitator rotates and/or has an orbital motion. Illustrative example of subject matter classified in this group."
"D06F15/00","Washing machines having beating, rubbing or squeezing means in receptacles stationary for washing purposes  (plungers or the like adapted for removable mounting on receptacles D06F5/04; mangle-type washing machines D06F11/00)","D06F5/04|D06F11/00","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F15/02","wherein the articles being washed are squeezed by a flexible diaphragm or bag","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F17/00","Washing machines having receptacles, stationary for washing purposes, wherein the washing action is effected solely by circulation or agitation of the washing liquid","","Washing devices adapted to be used independently of any particular receptacle Using vibrations for washing purposes ","D06F7/00|D06F19/00","","","","This place covers: Washing machines, wherein the washing action is only obtained by circulating or agitating the washing fluid. Illustrative example of subject matter classified in this group."
